"send","receive"
"0.118265","0.115940"
"0.214176","0.030826"
"0.200555","0.030770"
"0.200090","0.030907"
"0.201089","0.031096"
"0.200888","0.031083"
"0.201168","0.030930"
"0.200193","0.030409"
"0.200665","0.031012"
"0.200659","0.031075"
"0.201127","0.031171"
"0.200414","0.030794"
"0.201272","0.030925"
"0.201005","0.031157"
"0.200623","0.030585"
"0.200572","0.030929"
"0.201051","0.031035"
"0.200151","0.030582"
"0.200452","0.030927"
"0.200314","0.030432"
"0.200750","0.030738"
"0.200793","0.030925"
"0.201135","0.031150"
"[node2:0","[node2:0"
"0.200999","0.031021"
"0.200834","0.030906"
"0.200120","0.030504"
"0.200754","0.031028"
"0.200713","0.030921"
"0.200170","0.030518"
"0.200240","0.030698"
"0.201758","0.030635"
"0.201141","0.030910"
"0.200716","0.030923"
"0.200977","0.030857"
"0.200931","0.031115"
"0.200196","0.030574"
"0.201260","0.030988"
"0.201117","0.031039"
"0.201058","0.031104"
"0.200889","0.030781"
"0.200258","0.030848"
"0.200810","0.030820"
"0.200688","0.031071"
"0.200853","0.030912"
"0.200094","0.030408"
"0.200799","0.031036"
"0.201263","0.031252"
"0.201013","0.030875"
"0.200508","0.030783"
"0.201187","0.030870"
"0.200552","0.031047"
"0.200162","0.030743"
"0.201065","0.030946"
"0.200821","0.030866"
"0.200413","0.030687"
"0.200867","0.031038"
"0.200287","0.030966"
"0.200255","0.030508"
"0.200303","0.030545"
"0.200997","0.031049"
"0.200961","0.031146"
"0.200697","0.030599"
"0.200825","0.030875"
"0.200762","0.030773"
"0.200243","0.030813"
"0.200802","0.030842"
"0.200515","0.030474"
"0.200384","0.030373"
"0.200354","0.030932"
"0.201336","0.030804"
"0.200509","0.030530"
"0.201010","0.031069"
"0.201074","0.031071"
"0.201103","0.030974"
"0.200413","0.030741"
"0.200425","0.030568"
"0.200305","0.030532"
"0.201054","0.031157"
"0.200010","0.030795"
"0.200345","0.030860"
"0.201681","0.030907"
"0.200072","0.030680"
"0.201159","0.031035"
"0.200514","0.030517"
"0.200370","0.030362"
"0.201009","0.030687"
"0.201074","0.031155"
"0.199935","0.030416"
"0.200466","0.030587"
"0.201039","0.030901"
"0.200126","0.030618"
"0.200233","0.030677"
"0.200893","0.030983"
"0.200651","0.030952"
"0.200378","0.030449"
"0.200983","0.031148"
"0.200822","0.030799"
"0.200225","0.030574"
"0.200412","0 errors"
"0.030853","everythi"
"send","receive"
"0.118265","0.115940"
"0.214176","0.030826"
"0.200555","0.030770"
"0.200090","0.030907"
"0.201089","0.031096"
"0.200888","0.031083"
"0.201168","0.030930"
"0.200193","0.030409"
"0.200665","0.031012"
"0.200659","0.031075"
"0.201127","0.031171"
"0.200414","0.030794"
"0.201272","0.030925"
"0.201005","0.031157"
"0.200623","0.030585"
"0.200572","0.030929"
"0.201051","0.031035"
"0.200151","0.030582"
"0.200452","0.030927"
"0.200314","0.030432"
"0.200750","0.030738"
"0.200793","0.030925"
"0.201135","0.031150"
"[node2:0","[node2:0"
"0.200999","0.031021"
"0.200834","0.030906"
"0.200120","0.030504"
"0.200754","0.031028"
"0.200713","0.030921"
"0.200170","0.030518"
"0.200240","0.030698"
"0.201758","0.030635"
"0.201141","0.030910"
"0.200716","0.030923"
"0.200977","0.030857"
"0.200931","0.031115"
"0.200196","0.030574"
"0.201260","0.030988"
"0.201117","0.031039"
"0.201058","0.031104"
"0.200889","0.030781"
"0.200258","0.030848"
"0.200810","0.030820"
"0.200688","0.031071"
"0.200853","0.030912"
"0.200094","0.030408"
"0.200799","0.031036"
"0.201263","0.031252"
"0.201013","0.030875"
"0.200508","0.030783"
"0.201187","0.030870"
"0.200552","0.031047"
"0.200162","0.030743"
"0.201065","0.030946"
"0.200821","0.030866"
"0.200413","0.030687"
"0.200867","0.031038"
"0.200287","0.030966"
"0.200255","0.030508"
"0.200303","0.030545"
"0.200997","0.031049"
"0.200961","0.031146"
"0.200697","0.030599"
"0.200825","0.030875"
"0.200762","0.030773"
"0.200243","0.030813"
"0.200802","0.030842"
"0.200515","0.030474"
"0.200384","0.030373"
"0.200354","0.030932"
"0.201336","0.030804"
"0.200509","0.030530"
"0.201010","0.031069"
"0.201074","0.031071"
"0.201103","0.030974"
"0.200413","0.030741"
