Unicast lids [0x0-0xaa] of switch guid 0xf4521403005cc310
0x00a9 022 : (Channel Adapter portguid guid: SwitchX -  Mellanox Technologies)
0x00aa 021 : (Channel Adapter portguid guid: MF0;ibleaf1:SX6036/U1)
Unicast lids [0x0-0xaa] of switch guid 0xf4521403005cc610
0x0002 019 : (Channel Adapter portguid guid: r02n12)
0x0003 018 : (Channel Adapter portguid guid: r02n13)
0x0004 019 : (Channel Adapter portguid guid: r02n08)
0x0005 020 : (Channel Adapter portguid guid: r02n15)
0x0006 020 : (Channel Adapter portguid guid: r02n11)
0x0007 018 : (Channel Adapter portguid guid: r02n09)
0x0008 018 : (Channel Adapter portguid guid: r02n04)
0x0009 020 : (Channel Adapter portguid guid: r02n02)
0x000a 017 : (Channel Adapter portguid guid: r02n06)
0x000b 020 : (Channel Adapter portguid guid: r02n07)
0x000c 017 : (Channel Adapter portguid guid: r02n14)
0x000d 019 : (Channel Adapter portguid guid: r02n16)
0x000e 017 : (Channel Adapter portguid guid: r02n10)
0x000f 019 : (Channel Adapter portguid guid: r02n03)
0x0010 017 : (Channel Adapter portguid guid: r02n01)
0x0011 018 : (Channel Adapter portguid guid: r02n18)
0x0013 018 : (Channel Adapter portguid guid: r06n05)
0x0014 017 : (Channel Adapter portguid guid: r06n16)
0x0015 011 : (Channel Adapter portguid guid: r05n11)
0x0016 017 : (Channel Adapter portguid guid: r06n06)
0x0017 003 : (Channel Adapter portguid guid: r05n03)
0x0018 019 : (Channel Adapter portguid guid: r07n12)
0x0019 019 : (Channel Adapter portguid guid: r06n18)
0x001a 017 : (Channel Adapter portguid guid: r07n10)
0x001c 010 : (Channel Adapter portguid guid: r05n10)
0x001d 017 : (Channel Adapter portguid guid: r07n06)
0x001e 015 : (Channel Adapter portguid guid: r05n15)
0x001f 004 : (Channel Adapter portguid guid: r05n04)
0x0020 018 : (Channel Adapter portguid guid: r07n01)
0x0021 020 : (Channel Adapter portguid guid: r06n07)
0x0022 017 : (Channel Adapter portguid guid: r08n05)
0x0023 019 : (Channel Adapter portguid guid: r07n08)
0x0024 019 : (Channel Adapter portguid guid: r08n07)
0x0025 020 : (Channel Adapter portguid guid: r04n09)
0x0026 018 : (Channel Adapter portguid guid: r07n05)
0x0027 018 : (Channel Adapter portguid guid: r06n01)
0x0028 017 : (Channel Adapter portguid guid: r08n09)
0x0029 020 : (Channel Adapter portguid guid: r07n03)
0x002a 012 : (Channel Adapter portguid guid: r05n12)
0x002b 020 : (Channel Adapter portguid guid: r08n18)
0x002c 014 : (Channel Adapter portguid guid: r05n14)
0x002d 019 : (Channel Adapter portguid guid: r06n14)
0x002e 001 : (Channel Adapter portguid guid: r05n01)
0x002f 018 : (Channel Adapter portguid guid: r05n18)
0x0030 018 : (Channel Adapter portguid guid: r07n13)
0x0031 013 : (Channel Adapter portguid guid: r05n13)
0x0032 019 : (Channel Adapter portguid guid: r06n10)
0x0033 018 : (Channel Adapter portguid guid: r08n16)
0x0034 020 : (Channel Adapter portguid guid: r07n07)
0x0035 019 : (Channel Adapter portguid guid: r07n04)
0x0036 019 : (Channel Adapter portguid guid: r07n16)
0x0038 020 : (Channel Adapter portguid guid: r08n10)
0x0039 017 : (Channel Adapter portguid guid: r07n02)
0x003a 007 : (Channel Adapter portguid guid: r05n07)
0x003b 020 : (Channel Adapter portguid guid: r06n13)
0x003c 002 : (Channel Adapter portguid guid: r05n02)
0x003d 018 : (Channel Adapter portguid guid: r08n08)
0x003e 017 : (Channel Adapter portguid guid: r08n17)
0x003f 018 : (Channel Adapter portguid guid: r08n04)
0x0040 019 : (Channel Adapter portguid guid: r06n04)
0x0041 016 : (Channel Adapter portguid guid: r05n16)
0x0042 020 : (Channel Adapter portguid guid: r07n11)
0x0043 019 : (Channel Adapter portguid guid: r08n15)
0x0044 017 : (Channel Adapter portguid guid: r07n14)
0x0045 019 : (Channel Adapter portguid guid: r08n03)
0x0046 005 : (Channel Adapter portguid guid: r05n05)
0x0047 006 : (Channel Adapter portguid guid: r05n06)
0x0048 018 : (Channel Adapter portguid guid: r06n15)
0x0049 020 : (Channel Adapter portguid guid: r07n15)
0x004a 018 : (Channel Adapter portguid guid: r07n17)
0x004b 020 : (Channel Adapter portguid guid: r06n03)
0x004c 008 : (Channel Adapter portguid guid: r05n08)
0x004d 017 : (Channel Adapter portguid guid: r06n12)
0x004e 020 : (Channel Adapter portguid guid: r06n17)
0x004f 017 : (Channel Adapter portguid guid: r08n13)
0x0050 019 : (Channel Adapter portguid guid: r08n11)
0x0051 017 : (Channel Adapter portguid guid: r09n03)
0x0052 017 : (Channel Adapter portguid guid: r09n07)
0x0053 020 : (Channel Adapter portguid guid: r08n14)
0x0054 017 : (Channel Adapter portguid guid: r09n11)
0x0055 020 : (Channel Adapter portguid guid: r08n06)
0x0056 018 : (Channel Adapter portguid guid: r08n12)
0x0057 020 : (Channel Adapter portguid guid: r08n02)
0x0058 018 : (Channel Adapter portguid guid: r06n11)
0x0059 017 : (Channel Adapter portguid guid: r05n17)
0x005a 017 : (Channel Adapter portguid guid: r08n01)
0x005b 020 : (Channel Adapter portguid guid: r04n05)
0x005c 018 : (Channel Adapter portguid guid: r07n09)
0x005d 017 : (Channel Adapter portguid guid: r06n02)
0x005e 020 : (Channel Adapter portguid guid: r01n12)
0x005f 019 : (Channel Adapter portguid guid: r03n07)
0x0060 019 : (Channel Adapter portguid guid: MF0;switch-e1b2ec:SX6036/U1)
0x0061 020 : (Channel Adapter portguid guid: r01n04)
0x0062 017 : (Channel Adapter portguid guid: r01n07)
0x0063 020 : (Channel Adapter portguid guid: r03n14)
0x0064 017 : (Channel Adapter portguid guid: r03n13)
0x0065 018 : (Channel Adapter portguid guid: r01n18)
0x0066 020 : (Channel Adapter portguid guid: r04n13)
0x0067 020 : (Channel Adapter portguid guid: r09n12)
0x0068 019 : (Channel Adapter portguid guid: r01n09)
0x0069 017 : (Channel Adapter portguid guid: r04n08)
0x006a 020 : (Channel Adapter portguid guid: r03n10)
0x006b 018 : (Channel Adapter portguid guid: r01n02)
0x006c 009 : (Channel Adapter portguid guid: r05n09)
0x006d 018 : (Channel Adapter portguid guid: r09n16)
0x006e 020 : (Channel Adapter portguid guid: r09n08)
0x006f 020 : (Channel Adapter portguid guid: r01n16)
0x0070 018 : (Channel Adapter portguid guid: r03n04)
0x0071 019 : (Channel Adapter portguid guid: r04n10)
0x0072 017 : (Channel Adapter portguid guid: r04n12)
0x0073 017 : (Channel Adapter portguid guid: r04n04)
0x0074 017 : (Channel Adapter portguid guid: r01n11)
0x0075 017 : (Channel Adapter portguid guid: r03n01)
0x0076 020 : (Channel Adapter portguid guid: r09n04)
0x0077 019 : (Channel Adapter portguid guid: r09n14)
0x0078 017 : (Channel Adapter portguid guid: r01n03)
0x0079 018 : (Channel Adapter portguid guid: r09n06)
0x007a 017 : (Channel Adapter portguid guid: r03n17)
0x007b 019 : (Channel Adapter portguid guid: r01n05)
0x007c 018 : (Channel Adapter portguid guid: r01n10)
0x007d 019 : (Channel Adapter portguid guid: r09n09)
0x007e 018 : (Channel Adapter portguid guid: r03n12)
0x007f 019 : (Channel Adapter portguid guid: r01n17)
0x0080 018 : (Channel Adapter portguid guid: r09n10)
0x0081 019 : (Channel Adapter portguid guid: r09n05)
0x0082 019 : (Channel Adapter portguid guid: r04n02)
0x0083 019 : (Channel Adapter portguid guid: r03n15)
0x0084 020 : (Channel Adapter portguid guid: r04n01)
0x0085 019 : (Channel Adapter portguid guid: r04n14)
0x0086 017 : (Channel Adapter portguid guid: r09n17)
0x0087 018 : (Channel Adapter portguid guid: r04n03)
0x0088 018 : (Channel Adapter portguid guid: r04n11)
0x0089 018 : (Channel Adapter portguid guid: r01n14)
0x008a 018 : (Channel Adapter portguid guid: r04n15)
0x008b 019 : (Channel Adapter portguid guid: r04n18)
0x008c 019 : (Channel Adapter portguid guid: r03n11)
0x008d 018 : (Channel Adapter portguid guid: r09n02)
0x008e 019 : (Channel Adapter portguid guid: r09n01)
0x008f 018 : (Channel Adapter portguid guid: r03n16)
0x0090 018 : (Channel Adapter portguid guid: r03n08)
0x0091 019 : (Channel Adapter portguid guid: r04n06)
0x0092 020 : (Channel Adapter portguid guid: r03n06)
0x0093 020 : (Channel Adapter portguid guid: r03n02)
0x0094 019 : (Channel Adapter portguid guid: r01n13)
0x0095 017 : (Channel Adapter portguid guid: r04n16)
0x0098 020 : (Channel Adapter portguid guid: r01n08)
0x0099 017 : (Channel Adapter portguid guid: r03n09)
0x009a 017 : (Channel Adapter portguid guid: r01n15)
0x009b 018 : (Channel Adapter portguid guid: r04n07)
0x009c 018 : (Channel Adapter portguid guid: r01n06)
0x009d 019 : (Channel Adapter portguid guid: r03n03)
0x009e 020 : (Channel Adapter portguid guid: r04n17)
0x009f 017 : (Channel Adapter portguid guid: r03n05)
0x00a0 019 : (Channel Adapter portguid guid: r01n01)
0x00a1 020 : (Channel Adapter portguid guid: MF0;switch-e1b17c:SX6036/U1)
0x00a2 017 : (Channel Adapter portguid guid: MF0;switch-e68364:SX6036/U1)
0x00a3 018 : (Channel Adapter portguid guid: MF0;switch-e1b324:SX6036/U1)
0x00a6 017 : (Channel Adapter portguid guid: MF0;ibswitch:SX6036/U1)
0x00a9 020 : (Channel Adapter portguid guid: SwitchX -  Mellanox Technologies)
0x00aa 018 : (Channel Adapter portguid guid: MF0;ibleaf1:SX6036/U1)
Unicast lids [0x0-0xaa] of switch guid 0xe41d2d030007e6a0
0x0002 016 : (Channel Adapter portguid guid: r02n12)
0x0003 013 : (Channel Adapter portguid guid: r02n13)
0x0004 016 : (Channel Adapter portguid guid: r02n08)
0x0005 015 : (Channel Adapter portguid guid: r02n15)
0x0006 015 : (Channel Adapter portguid guid: r02n11)
0x0007 013 : (Channel Adapter portguid guid: r02n09)
0x0008 013 : (Channel Adapter portguid guid: r02n04)
0x0009 015 : (Channel Adapter portguid guid: r02n02)
0x000a 014 : (Channel Adapter portguid guid: r02n06)
0x000b 015 : (Channel Adapter portguid guid: r02n07)
0x000c 014 : (Channel Adapter portguid guid: r02n14)
0x000d 016 : (Channel Adapter portguid guid: r02n16)
0x000e 014 : (Channel Adapter portguid guid: r02n10)
0x000f 016 : (Channel Adapter portguid guid: r02n03)
0x0010 014 : (Channel Adapter portguid guid: r02n01)
0x0011 013 : (Channel Adapter portguid guid: r02n18)
0x0013 005 : (Channel Adapter portguid guid: r06n05)
0x0014 016 : (Channel Adapter portguid guid: r06n16)
0x0015 015 : (Channel Adapter portguid guid: r05n11)
0x0016 006 : (Channel Adapter portguid guid: r06n06)
0x0017 015 : (Channel Adapter portguid guid: r05n03)
0x0018 014 : (Channel Adapter portguid guid: r07n12)
0x0019 018 : (Channel Adapter portguid guid: r06n18)
0x001a 016 : (Channel Adapter portguid guid: r07n10)
0x001c 014 : (Channel Adapter portguid guid: r05n10)
0x001d 016 : (Channel Adapter portguid guid: r07n06)
0x001e 015 : (Channel Adapter portguid guid: r05n15)
0x001f 016 : (Channel Adapter portguid guid: r05n04)
0x0020 015 : (Channel Adapter portguid guid: r07n01)
0x0021 007 : (Channel Adapter portguid guid: r06n07)
0x0022 016 : (Channel Adapter portguid guid: r08n05)
0x0023 014 : (Channel Adapter portguid guid: r07n08)
0x0024 014 : (Channel Adapter portguid guid: r08n07)
0x0025 015 : (Channel Adapter portguid guid: r04n09)
0x0026 015 : (Channel Adapter portguid guid: r07n05)
0x0027 001 : (Channel Adapter portguid guid: r06n01)
0x0028 016 : (Channel Adapter portguid guid: r08n09)
0x0029 013 : (Channel Adapter portguid guid: r07n03)
0x002a 016 : (Channel Adapter portguid guid: r05n12)
0x002b 013 : (Channel Adapter portguid guid: r08n18)
0x002c 014 : (Channel Adapter portguid guid: r05n14)
0x002d 014 : (Channel Adapter portguid guid: r06n14)
0x002e 013 : (Channel Adapter portguid guid: r05n01)
0x002f 014 : (Channel Adapter portguid guid: r05n18)
0x0030 015 : (Channel Adapter portguid guid: r07n13)
0x0031 013 : (Channel Adapter portguid guid: r05n13)
0x0032 010 : (Channel Adapter portguid guid: r06n10)
0x0033 015 : (Channel Adapter portguid guid: r08n16)
0x0034 013 : (Channel Adapter portguid guid: r07n07)
0x0035 014 : (Channel Adapter portguid guid: r07n04)
0x0036 014 : (Channel Adapter portguid guid: r07n16)
0x0038 013 : (Channel Adapter portguid guid: r08n10)
0x0039 016 : (Channel Adapter portguid guid: r07n02)
0x003a 015 : (Channel Adapter portguid guid: r05n07)
0x003b 013 : (Channel Adapter portguid guid: r06n13)
0x003c 014 : (Channel Adapter portguid guid: r05n02)
0x003d 015 : (Channel Adapter portguid guid: r08n08)
0x003e 016 : (Channel Adapter portguid guid: r08n17)
0x003f 015 : (Channel Adapter portguid guid: r08n04)
0x0040 004 : (Channel Adapter portguid guid: r06n04)
0x0041 016 : (Channel Adapter portguid guid: r05n16)
0x0042 013 : (Channel Adapter portguid guid: r07n11)
0x0043 014 : (Channel Adapter portguid guid: r08n15)
0x0044 016 : (Channel Adapter portguid guid: r07n14)
0x0045 014 : (Channel Adapter portguid guid: r08n03)
0x0046 013 : (Channel Adapter portguid guid: r05n05)
0x0047 014 : (Channel Adapter portguid guid: r05n06)
0x0048 015 : (Channel Adapter portguid guid: r06n15)
0x0049 013 : (Channel Adapter portguid guid: r07n15)
0x004a 015 : (Channel Adapter portguid guid: r07n17)
0x004b 003 : (Channel Adapter portguid guid: r06n03)
0x004c 016 : (Channel Adapter portguid guid: r05n08)
0x004d 012 : (Channel Adapter portguid guid: r06n12)
0x004e 017 : (Channel Adapter portguid guid: r06n17)
0x004f 016 : (Channel Adapter portguid guid: r08n13)
0x0050 014 : (Channel Adapter portguid guid: r08n11)
0x0051 016 : (Channel Adapter portguid guid: r09n03)
0x0052 016 : (Channel Adapter portguid guid: r09n07)
0x0053 013 : (Channel Adapter portguid guid: r08n14)
0x0054 016 : (Channel Adapter portguid guid: r09n11)
0x0055 013 : (Channel Adapter portguid guid: r08n06)
0x0056 015 : (Channel Adapter portguid guid: r08n12)
0x0057 013 : (Channel Adapter portguid guid: r08n02)
0x0058 011 : (Channel Adapter portguid guid: r06n11)
0x0059 013 : (Channel Adapter portguid guid: r05n17)
0x005a 016 : (Channel Adapter portguid guid: r08n01)
0x005b 015 : (Channel Adapter portguid guid: r04n05)
0x005c 015 : (Channel Adapter portguid guid: r07n09)
0x005d 002 : (Channel Adapter portguid guid: r06n02)
0x005e 015 : (Channel Adapter portguid guid: r01n12)
0x005f 016 : (Channel Adapter portguid guid: r03n07)
0x0060 016 : (Channel Adapter portguid guid: MF0;switch-e1b2ec:SX6036/U1)
0x0061 015 : (Channel Adapter portguid guid: r01n04)
0x0062 014 : (Channel Adapter portguid guid: r01n07)
0x0063 015 : (Channel Adapter portguid guid: r03n14)
0x0064 014 : (Channel Adapter portguid guid: r03n13)
0x0065 013 : (Channel Adapter portguid guid: r01n18)
0x0066 015 : (Channel Adapter portguid guid: r04n13)
0x0067 013 : (Channel Adapter portguid guid: r09n12)
0x0068 016 : (Channel Adapter portguid guid: r01n09)
0x0069 014 : (Channel Adapter portguid guid: r04n08)
0x006a 015 : (Channel Adapter portguid guid: r03n10)
0x006b 013 : (Channel Adapter portguid guid: r01n02)
0x006c 013 : (Channel Adapter portguid guid: r05n09)
0x006d 015 : (Channel Adapter portguid guid: r09n16)
0x006e 013 : (Channel Adapter portguid guid: r09n08)
0x006f 015 : (Channel Adapter portguid guid: r01n16)
0x0070 013 : (Channel Adapter portguid guid: r03n04)
0x0071 016 : (Channel Adapter portguid guid: r04n10)
0x0072 014 : (Channel Adapter portguid guid: r04n12)
0x0073 014 : (Channel Adapter portguid guid: r04n04)
0x0074 014 : (Channel Adapter portguid guid: r01n11)
0x0075 014 : (Channel Adapter portguid guid: r03n01)
0x0076 013 : (Channel Adapter portguid guid: r09n04)
0x0077 014 : (Channel Adapter portguid guid: r09n14)
0x0078 014 : (Channel Adapter portguid guid: r01n03)
0x0079 015 : (Channel Adapter portguid guid: r09n06)
0x007a 014 : (Channel Adapter portguid guid: r03n17)
0x007b 016 : (Channel Adapter portguid guid: r01n05)
0x007c 013 : (Channel Adapter portguid guid: r01n10)
0x007d 014 : (Channel Adapter portguid guid: r09n09)
0x007e 013 : (Channel Adapter portguid guid: r03n12)
0x007f 016 : (Channel Adapter portguid guid: r01n17)
0x0080 015 : (Channel Adapter portguid guid: r09n10)
0x0081 014 : (Channel Adapter portguid guid: r09n05)
0x0082 016 : (Channel Adapter portguid guid: r04n02)
0x0083 016 : (Channel Adapter portguid guid: r03n15)
0x0084 015 : (Channel Adapter portguid guid: r04n01)
0x0085 016 : (Channel Adapter portguid guid: r04n14)
0x0086 016 : (Channel Adapter portguid guid: r09n17)
0x0087 013 : (Channel Adapter portguid guid: r04n03)
0x0088 013 : (Channel Adapter portguid guid: r04n11)
0x0089 013 : (Channel Adapter portguid guid: r01n14)
0x008a 013 : (Channel Adapter portguid guid: r04n15)
0x008b 016 : (Channel Adapter portguid guid: r04n18)
0x008c 016 : (Channel Adapter portguid guid: r03n11)
0x008d 015 : (Channel Adapter portguid guid: r09n02)
0x008e 014 : (Channel Adapter portguid guid: r09n01)
0x008f 013 : (Channel Adapter portguid guid: r03n16)
0x0090 013 : (Channel Adapter portguid guid: r03n08)
0x0091 016 : (Channel Adapter portguid guid: r04n06)
0x0092 015 : (Channel Adapter portguid guid: r03n06)
0x0093 015 : (Channel Adapter portguid guid: r03n02)
0x0094 016 : (Channel Adapter portguid guid: r01n13)
0x0095 014 : (Channel Adapter portguid guid: r04n16)
0x0098 015 : (Channel Adapter portguid guid: r01n08)
0x0099 014 : (Channel Adapter portguid guid: r03n09)
0x009a 014 : (Channel Adapter portguid guid: r01n15)
0x009b 013 : (Channel Adapter portguid guid: r04n07)
0x009c 013 : (Channel Adapter portguid guid: r01n06)
0x009d 016 : (Channel Adapter portguid guid: r03n03)
0x009e 015 : (Channel Adapter portguid guid: r04n17)
0x009f 014 : (Channel Adapter portguid guid: r03n05)
0x00a0 016 : (Channel Adapter portguid guid: r01n01)
0x00a1 015 : (Channel Adapter portguid guid: MF0;switch-e1b17c:SX6036/U1)
0x00a2 014 : (Channel Adapter portguid guid: MF0;switch-e68364:SX6036/U1)
0x00a3 013 : (Channel Adapter portguid guid: MF0;switch-e1b324:SX6036/U1)
0x00a6 014 : (Channel Adapter portguid guid: MF0;ibswitch:SX6036/U1)
0x00a9 015 : (Channel Adapter portguid guid: SwitchX -  Mellanox Technologies)
0x00aa 013 : (Channel Adapter portguid guid: MF0;ibleaf1:SX6036/U1)
Unicast lids [0x0-0xaa] of switch guid 0xf452140300944ce0
0x0002 012 : (Channel Adapter portguid guid: r02n12)
0x0003 011 : (Channel Adapter portguid guid: r02n13)
0x0004 012 : (Channel Adapter portguid guid: r02n08)
0x0005 009 : (Channel Adapter portguid guid: r02n15)
0x0006 009 : (Channel Adapter portguid guid: r02n11)
0x0007 011 : (Channel Adapter portguid guid: r02n09)
0x0008 011 : (Channel Adapter portguid guid: r02n04)
0x0009 009 : (Channel Adapter portguid guid: r02n02)
0x000a 010 : (Channel Adapter portguid guid: r02n06)
0x000b 009 : (Channel Adapter portguid guid: r02n07)
0x000c 010 : (Channel Adapter portguid guid: r02n14)
0x000d 012 : (Channel Adapter portguid guid: r02n16)
0x000e 010 : (Channel Adapter portguid guid: r02n10)
0x000f 012 : (Channel Adapter portguid guid: r02n03)
0x0010 010 : (Channel Adapter portguid guid: r02n01)
0x0011 011 : (Channel Adapter portguid guid: r02n18)
0x0013 009 : (Channel Adapter portguid guid: r06n05)
0x0014 012 : (Channel Adapter portguid guid: r06n16)
0x0015 009 : (Channel Adapter portguid guid: r05n11)
0x0016 012 : (Channel Adapter portguid guid: r06n06)
0x0017 009 : (Channel Adapter portguid guid: r05n03)
0x0018 012 : (Channel Adapter portguid guid: r07n12)
0x0019 010 : (Channel Adapter portguid guid: r06n18)
0x001a 009 : (Channel Adapter portguid guid: r07n10)
0x001c 010 : (Channel Adapter portguid guid: r05n10)
0x001d 006 : (Channel Adapter portguid guid: r07n06)
0x001e 009 : (Channel Adapter portguid guid: r05n15)
0x001f 012 : (Channel Adapter portguid guid: r05n04)
0x0020 001 : (Channel Adapter portguid guid: r07n01)
0x0021 011 : (Channel Adapter portguid guid: r06n07)
0x0022 009 : (Channel Adapter portguid guid: r08n05)
0x0023 008 : (Channel Adapter portguid guid: r07n08)
0x0024 011 : (Channel Adapter portguid guid: r08n07)
0x0025 009 : (Channel Adapter portguid guid: r04n09)
0x0026 005 : (Channel Adapter portguid guid: r07n05)
0x0027 009 : (Channel Adapter portguid guid: r06n01)
0x0028 009 : (Channel Adapter portguid guid: r08n09)
0x0029 003 : (Channel Adapter portguid guid: r07n03)
0x002a 012 : (Channel Adapter portguid guid: r05n12)
0x002b 012 : (Channel Adapter portguid guid: r08n18)
0x002c 010 : (Channel Adapter portguid guid: r05n14)
0x002d 010 : (Channel Adapter portguid guid: r06n14)
0x002e 011 : (Channel Adapter portguid guid: r05n01)
0x002f 010 : (Channel Adapter portguid guid: r05n18)
0x0030 013 : (Channel Adapter portguid guid: r07n13)
0x0031 011 : (Channel Adapter portguid guid: r05n13)
0x0032 010 : (Channel Adapter portguid guid: r06n10)
0x0033 010 : (Channel Adapter portguid guid: r08n16)
0x0034 007 : (Channel Adapter portguid guid: r07n07)
0x0035 004 : (Channel Adapter portguid guid: r07n04)
0x0036 016 : (Channel Adapter portguid guid: r07n16)
0x0038 012 : (Channel Adapter portguid guid: r08n10)
0x0039 002 : (Channel Adapter portguid guid: r07n02)
0x003a 009 : (Channel Adapter portguid guid: r05n07)
0x003b 011 : (Channel Adapter portguid guid: r06n13)
0x003c 010 : (Channel Adapter portguid guid: r05n02)
0x003d 010 : (Channel Adapter portguid guid: r08n08)
0x003e 009 : (Channel Adapter portguid guid: r08n17)
0x003f 010 : (Channel Adapter portguid guid: r08n04)
0x0040 010 : (Channel Adapter portguid guid: r06n04)
0x0041 012 : (Channel Adapter portguid guid: r05n16)
0x0042 011 : (Channel Adapter portguid guid: r07n11)
0x0043 011 : (Channel Adapter portguid guid: r08n15)
0x0044 014 : (Channel Adapter portguid guid: r07n14)
0x0045 011 : (Channel Adapter portguid guid: r08n03)
0x0046 011 : (Channel Adapter portguid guid: r05n05)
0x0047 010 : (Channel Adapter portguid guid: r05n06)
0x0048 009 : (Channel Adapter portguid guid: r06n15)
0x0049 015 : (Channel Adapter portguid guid: r07n15)
0x004a 017 : (Channel Adapter portguid guid: r07n17)
0x004b 011 : (Channel Adapter portguid guid: r06n03)
0x004c 012 : (Channel Adapter portguid guid: r05n08)
0x004d 012 : (Channel Adapter portguid guid: r06n12)
0x004e 011 : (Channel Adapter portguid guid: r06n17)
0x004f 009 : (Channel Adapter portguid guid: r08n13)
0x0050 011 : (Channel Adapter portguid guid: r08n11)
0x0051 009 : (Channel Adapter portguid guid: r09n03)
0x0052 009 : (Channel Adapter portguid guid: r09n07)
0x0053 012 : (Channel Adapter portguid guid: r08n14)
0x0054 009 : (Channel Adapter portguid guid: r09n11)
0x0055 012 : (Channel Adapter portguid guid: r08n06)
0x0056 010 : (Channel Adapter portguid guid: r08n12)
0x0057 012 : (Channel Adapter portguid guid: r08n02)
0x0058 009 : (Channel Adapter portguid guid: r06n11)
0x0059 011 : (Channel Adapter portguid guid: r05n17)
0x005a 009 : (Channel Adapter portguid guid: r08n01)
0x005b 009 : (Channel Adapter portguid guid: r04n05)
0x005c 010 : (Channel Adapter portguid guid: r07n09)
0x005d 012 : (Channel Adapter portguid guid: r06n02)
0x005e 009 : (Channel Adapter portguid guid: r01n12)
0x005f 012 : (Channel Adapter portguid guid: r03n07)
0x0060 012 : (Channel Adapter portguid guid: MF0;switch-e1b2ec:SX6036/U1)
0x0061 009 : (Channel Adapter portguid guid: r01n04)
0x0062 010 : (Channel Adapter portguid guid: r01n07)
0x0063 009 : (Channel Adapter portguid guid: r03n14)
0x0064 010 : (Channel Adapter portguid guid: r03n13)
0x0065 011 : (Channel Adapter portguid guid: r01n18)
0x0066 009 : (Channel Adapter portguid guid: r04n13)
0x0067 012 : (Channel Adapter portguid guid: r09n12)
0x0068 012 : (Channel Adapter portguid guid: r01n09)
0x0069 010 : (Channel Adapter portguid guid: r04n08)
0x006a 009 : (Channel Adapter portguid guid: r03n10)
0x006b 011 : (Channel Adapter portguid guid: r01n02)
0x006c 011 : (Channel Adapter portguid guid: r05n09)
0x006d 010 : (Channel Adapter portguid guid: r09n16)
0x006e 012 : (Channel Adapter portguid guid: r09n08)
0x006f 009 : (Channel Adapter portguid guid: r01n16)
0x0070 011 : (Channel Adapter portguid guid: r03n04)
0x0071 012 : (Channel Adapter portguid guid: r04n10)
0x0072 010 : (Channel Adapter portguid guid: r04n12)
0x0073 010 : (Channel Adapter portguid guid: r04n04)
0x0074 010 : (Channel Adapter portguid guid: r01n11)
0x0075 010 : (Channel Adapter portguid guid: r03n01)
0x0076 012 : (Channel Adapter portguid guid: r09n04)
0x0077 011 : (Channel Adapter portguid guid: r09n14)
0x0078 010 : (Channel Adapter portguid guid: r01n03)
0x0079 010 : (Channel Adapter portguid guid: r09n06)
0x007a 010 : (Channel Adapter portguid guid: r03n17)
0x007b 012 : (Channel Adapter portguid guid: r01n05)
0x007c 011 : (Channel Adapter portguid guid: r01n10)
0x007d 011 : (Channel Adapter portguid guid: r09n09)
0x007e 011 : (Channel Adapter portguid guid: r03n12)
0x007f 012 : (Channel Adapter portguid guid: r01n17)
0x0080 010 : (Channel Adapter portguid guid: r09n10)
0x0081 011 : (Channel Adapter portguid guid: r09n05)
0x0082 012 : (Channel Adapter portguid guid: r04n02)
0x0083 012 : (Channel Adapter portguid guid: r03n15)
0x0084 009 : (Channel Adapter portguid guid: r04n01)
0x0085 012 : (Channel Adapter portguid guid: r04n14)
0x0086 009 : (Channel Adapter portguid guid: r09n17)
0x0087 011 : (Channel Adapter portguid guid: r04n03)
0x0088 011 : (Channel Adapter portguid guid: r04n11)
0x0089 011 : (Channel Adapter portguid guid: r01n14)
0x008a 011 : (Channel Adapter portguid guid: r04n15)
0x008b 012 : (Channel Adapter portguid guid: r04n18)
0x008c 012 : (Channel Adapter portguid guid: r03n11)
0x008d 010 : (Channel Adapter portguid guid: r09n02)
0x008e 011 : (Channel Adapter portguid guid: r09n01)
0x008f 011 : (Channel Adapter portguid guid: r03n16)
0x0090 011 : (Channel Adapter portguid guid: r03n08)
0x0091 012 : (Channel Adapter portguid guid: r04n06)
0x0092 009 : (Channel Adapter portguid guid: r03n06)
0x0093 009 : (Channel Adapter portguid guid: r03n02)
0x0094 012 : (Channel Adapter portguid guid: r01n13)
0x0095 010 : (Channel Adapter portguid guid: r04n16)
0x0098 009 : (Channel Adapter portguid guid: r01n08)
0x0099 010 : (Channel Adapter portguid guid: r03n09)
0x009a 010 : (Channel Adapter portguid guid: r01n15)
0x009b 011 : (Channel Adapter portguid guid: r04n07)
0x009c 011 : (Channel Adapter portguid guid: r01n06)
0x009d 012 : (Channel Adapter portguid guid: r03n03)
0x009e 009 : (Channel Adapter portguid guid: r04n17)
0x009f 010 : (Channel Adapter portguid guid: r03n05)
0x00a0 012 : (Channel Adapter portguid guid: r01n01)
0x00a1 009 : (Channel Adapter portguid guid: MF0;switch-e1b17c:SX6036/U1)
0x00a2 010 : (Channel Adapter portguid guid: MF0;switch-e68364:SX6036/U1)
0x00a3 011 : (Channel Adapter portguid guid: MF0;switch-e1b324:SX6036/U1)
0x00a6 010 : (Channel Adapter portguid guid: MF0;ibswitch:SX6036/U1)
0x00a9 009 : (Channel Adapter portguid guid: SwitchX -  Mellanox Technologies)
0x00aa 011 : (Channel Adapter portguid guid: MF0;ibleaf1:SX6036/U1)
