"256000 Byte are send"
"0.050000 load average last 15 minutes "
"0.010000 load average last 5 minutes"
"0.000000 load average last minute"
"CPU time used = 0.000000"
"send","receive"
"0.055112","0.056698"
"0.000495","0.000238"
"0.000229","0.000339"
"0.000225","0.000325"
"0.000225","0.000344"
"0.000224","0.000333"
"0.000223","0.000339"
"0.000224","0.000323"
"0.000225","0.000348"
"0.000223","0.000333"
"0.000221","0.000329"
"0.000227","0.000335"
"0.000259","0.000371"
"0.000223","0.000337"
"0.000222","0.000336"
"0.000232","0.000347"
"0.000232","0.000339"
"0.000225","0.000339"
"0.000221","0.000325"
"0.000222","0.000326"
"0.000221","0.000327"
"0.000224","0.000338"
"0.000223","0.000332"
"0.000223","0.000332"
"0.000223","0.000329"
"0.000224","0.000340"
"0.000221","0.000329"
"0.000221","0.000333"
"0.000222","0.000325"
"0.000223","0.000336"
"0.000222","0.000336"
"0.000223","0.000337"
"0.000224","0.000327"
"0.000223","0.000339"
"0.000222","0.000329"
"0.000222","0.000328"
"0.000222","0.000319"
"0.000223","0.000358"
"0.000222","0.000331"
"0.000222","0.000333"
"0.000235","0.000345"
"0.000225","0.000344"
"0.000224","0.000333"
"0.000223","0.000328"
"0.000223","0.000333"
"0.000229","0.000341"
"0.000221","0.000330"
"0.000222","0.000336"
"0.000222","0.000330"
"0.000224","0.000331"
"0.000224","0.000337"
"0.000224","0.000332"
"0.000223","0.000333"
"0.000223","0.000320"
"0.000221","0.000336"
"0.000222","0.000332"
"0.000222","0.000331"
"0.000224","0.000328"
"0.000225","0.000345"
"0.000223","0.000331"
"0.000222","0.000332"
"0.000223","0.000324"
"0.000222","0.000340"
"0.000222","0.000336"
"0.000223","0.000332"
"0.000230","0.000334"
"0.000222","0.000336"
"0.000224","0.000331"
"0.000222","0.000332"
"0.000223","0.000337"
"0.000222","0.000341"
"0.000223","0.000333"
"0.000229","0.000340"
"0.000223","0.000334"
"0.000222","0.000327"
"0.000223","0.000330"
"0.000222","0.000333"
"0.000231","0.000339"
"0.000223","0.000329"
"0.000222","0.000341"
"0.000222","0.000331"
"0.000230","0.000342"
"0.000222","0.000270"
"0.000223","0.000259"
"0.000224","0.000258"
"0.000237","0.000275"
"0.000223","0.000254"
"0.000223","0.000262"
"0.000222","0.000257"
"0.000222","0.000256"
"0.000222","0.000241"
"0.000224","0.000253"
"0.000222","0.000259"
"0.000224","0.000259"
