Byte   send meantime     recv meantime    load average last minute   last 5 min      last 15 min
1000  2.12765957447e-08 2.12765957447e-08              0.050000     0.010000       0.000000
2000  2.12765957447e-08 4.25531914894e-08              0.050000     0.010000       0.000000
4000  2.76595744681e-07 3.1914893617e-07              0.050000     0.010000       0.000000
8000  3.40425531915e-07 3.6170212766e-07              0.050000     0.010000       0.000000
16000 4.89361702128e-07 6.8085106383e-07              0.050000     0.010000       0.000000
32000 8.93617021277e-07 1.21276595745e-06              0.050000     0.010000       0.000000
64000 1.36170212766e-06 1.97872340426e-06              0.050000     0.010000       0.000000
12800 2.57446808511e-06 3.91489361702e-06              0.050000     0.010000       0.000000
25600 4.76595744681e-06 5.51063829787e-06              0.050000     0.010000       0.000000
51200 1.22978723404e-05 1.71914893617e-05              0.050000     0.010000       0.000000
10240 2.23829787234e-05 3.1914893617e-05              0.050000     0.010000       0.000000
20480 4.71489361702e-05 6.87659574468e-05              0.050000     0.010000       0.000000
