"512000 Byte are send"
"0.050000 load average last 15 minutes "
"0.010000 load average last 5 minutes"
"0.000000 load average last minute"
"CPU time used = 0.000000"
"send","receive"
"0.054114","0.056570"
"0.000599","0.000918"
"0.000591","0.000811"
"0.000566","0.000727"
"0.000565","0.000813"
"0.000574","0.000793"
"0.000572","0.000858"
"0.000567","0.000747"
"0.000574","0.000826"
"0.000566","0.000777"
"0.000569","0.000803"
"0.000596","0.000802"
"0.000566","0.000707"
"0.000570","0.000799"
"0.000577","0.000820"
"0.000570","0.000791"
"0.000579","0.000810"
"0.000568","0.000792"
"0.000575","0.000824"
"0.000569","0.000756"
"0.000577","0.000806"
"0.000577","0.000806"
"0.000579","0.000831"
"0.000573","0.000763"
"0.000573","0.000826"
"0.000599","0.000780"
"0.000580","0.000660"
"0.000581","0.000628"
"0.000575","0.000802"
"0.000583","0.000816"
"0.000580","0.000804"
"0.000548","0.000780"
"0.000590","0.000810"
"0.000573","0.000819"
"0.000581","0.000789"
"0.000571","0.000795"
"0.000568","0.000790"
"0.000578","0.000821"
"0.000590","0.000800"
"0.000572","0.000807"
"0.000581","0.000826"
"0.000576","0.000774"
"0.000577","0.000782"
"0.000581","0.000810"
"0.000578","0.000808"
"0.000568","0.000798"
"0.000580","0.000803"
"0.000575","0.000827"
"0.000573","0.000764"
"0.000583","0.000811"
"0.000573","0.000792"
"0.000566","0.000788"
"0.000580","0.000805"
"0.000567","0.000800"
"0.000574","0.000804"
"0.000567","0.000812"
"0.000584","0.000799"
"0.000579","0.000804"
"0.000575","0.000798"
"0.000577","0.000810"
"0.000574","0.000807"
"0.000579","0.000806"
"0.000585","0.000810"
"0.000583","0.000834"
"0.000573","0.000760"
"0.000574","0.000803"
"0.000578","0.000793"
"0.000569","0.000790"
"0.000575","0.000808"
"0.000573","0.000793"
"0.000571","0.000800"
"0.000571","0.000797"
"0.000581","0.000816"
"0.000575","0.000799"
"0.000573","0.000804"
"0.000583","0.000800"
"0.000571","0.000798"
"0.000575","0.000824"
"0.000573","0.000791"
"0.000581","0.000831"
"0.000576","0.000796"
"0.000579","0.000821"
"0.000574","0.000756"
"0.000574","0.000788"
"0.000582","0.000807"
"0.000589","0.000823"
"0.000573","0.000809"
"0.000570","0.000798"
"0.000590","0.000817"
"0.000573","0.000797"
"0.000579","0.000806"
"0.000571","0.000801"
"0.000583","0.000808"
"0.000578","0.000808"
