#Byte   send meantime  sigma   recv meantime   sigma  
1  2.12765957447e-08 0.000417462263317 2.12765957447e-08 0.000416309583006
2  2.12765957447e-08 0.000421437821407 4.25531914894e-08 0.000419205045034
4  2.76595744681e-07 0.000560622439707 3.1914893617e-07 0.000561880871323
8  3.40425531915e-07 0.000593514795791 3.6170212766e-07 0.000593816424009
16 4.89361702128e-07 0.000599387306897 6.8085106383e-07 0.000598969441604
32 8.93617021277e-07 0.000597940202121 1.21276595745e-06 0.000599722529906
64 1.36170212766e-06 0.000551650542159 1.97872340426e-06 0.000556094354007
128 2.57446808511e-06 0.000587280360426 3.91489361702e-06 0.000595711866354
256 4.76595744681e-06 0.000593006462393 5.51063829787e-06 0.000610495419066
512 1.22978723404e-05 0.000584670259595 1.71914893617e-05 0.000613472280092
1024 2.23829787234e-05 0.000591951283257 3.1914893617e-05 0.000656751330462
2048 4.71489361702e-05 0.000638590588811 6.87659574468e-05 0.000775295229927
