"64000 Byte are send"
"0.050000 load average last 15 minutes "
"0.010000 load average last 5 minutes"
"0.000000 load average last minute"
"CPU time used = 0.000000"
"send","receive"
"0.051301","0.051711"
"0.000128","0.000076"
"0.000070","0.000101"
"0.000067","0.000096"
"0.000067","0.000098"
"0.000066","0.000097"
"0.000066","0.000094"
"0.000065","0.000095"
"0.000068","0.000098"
"0.000066","0.000098"
"0.000065","0.000092"
"0.000065","0.000094"
"0.000065","0.000094"
"0.000066","0.000096"
"0.000064","0.000094"
"0.000064","0.000095"
"0.000064","0.000093"
"0.000066","0.000096"
"0.000066","0.000093"
"0.000067","0.000097"
"0.000066","0.000095"
"0.000067","0.000097"
"0.000067","0.000097"
"0.000076","0.000105"
"0.000066","0.000097"
"0.000067","0.000095"
"0.000065","0.000094"
"0.000066","0.000094"
"0.000065","0.000095"
"0.000065","0.000096"
"0.000065","0.000096"
"0.000064","0.000095"
"0.000065","0.000096"
"0.000065","0.000094"
"0.000064","0.000092"
"0.000064","0.000093"
"0.000065","0.000095"
"0.000064","0.000094"
"0.000065","0.000095"
"0.000067","0.000100"
"0.000066","0.000097"
"0.000067","0.000096"
"0.000067","0.000094"
"0.000066","0.000093"
"0.000067","0.000097"
"0.000066","0.000094"
"0.000066","0.000093"
"0.000066","0.000095"
"0.000065","0.000095"
"0.000067","0.000094"
"0.000065","0.000095"
"0.000064","0.000093"
"0.000065","0.000094"
"0.000064","0.000095"
"0.000064","0.000093"
"0.000064","0.000099"
"0.000064","0.000093"
"0.000066","0.000095"
"0.000064","0.000092"
"0.000065","0.000094"
"0.000065","0.000094"
"0.000067","0.000096"
"0.000066","0.000065"
"0.000066","0.000102"
"0.000066","0.000091"
"0.000067","0.000097"
"0.000065","0.000093"
"0.000065","0.000094"
"0.000065","0.000095"
"0.000065","0.000095"
"0.000065","0.000094"
"0.000066","0.000101"
"0.000065","0.000096"
"0.000065","0.000096"
"0.000064","0.000091"
"0.000064","0.000093"
"0.000064","0.000094"
"0.000065","0.000095"
"0.000068","0.000095"
"0.000065","0.000096"
"0.000065","0.000093"
"0.000066","0.000096"
"0.000066","0.000095"
"0.000067","0.000096"
"0.000066","0.000094"
"0.000066","0.000095"
"0.000065","0.000096"
"0.000066","0.000106"
"0.000065","0.000096"
"0.000066","0.000094"
"0.000065","0.000093"
"0.000065","0.000093"
"0.000065","0.000094"
"0.000064","0.000093"
