"8000 Byte are send"
"0.050000 load average last 15 minutes "
"0.010000 load average last 5 minutes"
"0.000000 load average last minute"
"CPU time used = 0.000000"
"send","receive"
"0.055197","0.055225"
"0.000027","0.000032"
"0.000017","0.000021"
"0.000016","0.000020"
"0.000016","0.000021"
"0.000017","0.000022"
"0.000016","0.000020"
"0.000016","0.000017"
"0.000018","0.000022"
"0.000016","0.000021"
"0.000016","0.000017"
"0.000015","0.000019"
"0.000015","0.000017"
"0.000016","0.000017"
"0.000016","0.000018"
"0.000016","0.000016"
"0.000016","0.000017"
"0.000017","0.000021"
"0.000016","0.000021"
"0.000016","0.000018"
"0.000016","0.000018"
"0.000016","0.000018"
"0.000016","0.000018"
"0.000017","0.000018"
"0.000016","0.000020"
"0.000016","0.000018"
"0.000016","0.000021"
"0.000016","0.000017"
"0.000017","0.000023"
"0.000016","0.000019"
"0.000021","0.000023"
"0.000018","0.000014"
"0.000016","0.000021"
"0.000016","0.000020"
"0.000016","0.000018"
"0.000017","0.000017"
"0.000016","0.000017"
"0.000017","0.000018"
"0.000017","0.000018"
"0.000016","0.000018"
"0.000016","0.000017"
"0.000016","0.000021"
"0.000015","0.000018"
"0.000017","0.000017"
"0.000016","0.000018"
"0.000017","0.000019"
"0.000015","0.000017"
"0.000016","0.000020"
"0.000017","0.000019"
"0.000016","0.000018"
"0.000016","0.000018"
"0.000017","0.000018"
"0.000016","0.000018"
"0.000016","0.000017"
"0.000016","0.000017"
"0.000016","0.000018"
"0.000016","0.000017"
"0.000016","0.000017"
"0.000016","0.000018"
"0.000016","0.000019"
"0.000016","0.000018"
"0.000016","0.000018"
"0.000016","0.000021"
"0.000016","0.000018"
"0.000017","0.000019"
"0.000016","0.000018"
"0.000016","0.000021"
"0.000016","0.000020"
"0.000016","0.000018"
"0.000016","0.000018"
"0.000016","0.000017"
"0.000016","0.000017"
"0.000016","0.000021"
"0.000016","0.000020"
"0.000016","0.000020"
"0.000016","0.000018"
"0.000016","0.000018"
"0.000015","0.000019"
"0.000016","0.000020"
"0.000016","0.000018"
"0.000016","0.000016"
"0.000017","0.000021"
"0.000015","0.000017"
"0.000016","0.000017"
"0.000016","0.000021"
"0.000018","0.000018"
"0.000016","0.000020"
"0.000016","0.000018"
"0.000016","0.000017"
"0.000015","0.000018"
"0.000016","0.000018"
"0.000016","0.000021"
"0.000016","0.000017"
"0.000016","0.000017"
